epoch,acc,loss,val_acc,val_loss
0,0.335609042461,1.7584656992,0.421426591218,1.59541278943
1,0.450381413498,1.47459723195,0.432850386608,1.63467356101
2,0.493573443868,1.35864168514,0.436054621393,1.51895305646
3,0.518339196769,1.29476386404,0.515324614859,1.31534181206
4,0.534153053052,1.25102429389,0.517135704702,1.28243180779
5,0.547284823577,1.21515771417,0.536082486504,1.25022255885
6,0.552823156504,1.18911955907,0.534967969714,1.25753634002
7,0.559267128779,1.17520736362,0.478266937835,1.45001744899
8,0.564805461703,1.15988325102,0.573000848706,1.14615824741
9,0.574175345715,1.14162387659,0.574951252582,1.14244304402
10,0.574662997667,1.12870020798,0.581359723053,1.12621051318
